Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
53026600,How I Built This: The Unexpected Paths to Success From the World's Most Inspiring Entrepreneurs,Guy Raz,"Raz, Guy",,152902630X,9781529026306,0,4.17,Pan Macmillan UK,Paperback,320,2020,2020,,2020/09/17,to-read,to-read (#39),to-read,,,,0,0
33517721,The Culture Code: The Secrets of Highly Successful Groups,Daniel Coyle,"Coyle, Daniel",,804176981,9780804176989,4,4.25,Bantam,Hardcover,304,2018,2017,2020/08/14,2020/07/24,,,read,,,,1,0
721609,Spark: The Revolutionary New Science of Exercise and the Brain,John J. Ratey,"Ratey, John J.",Eric Hagerman,316113506,9780316113502,0,4.13,"Little, Brown Spark",Hardcover,294,2008,2008,,2020/08/03,to-read,to-read (#38),to-read,,,,0,0
34640834,Down Girl: The Logic of Misogyny,Kate Manne,"Manne, Kate",,190604980,9780190604981,4,4.21,Oxford University Press,Hardcover,338,2017,2017,2020/07/26,2020/04/30,,,read,Great book which delivers a direct look into how the patriarchy and misogyny seeps into all aspects of society.,,,1,0
34466963,Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,"Walker, Matthew",,9781501144318,9781501144318,5,4.37,Scribner,Hardcover,368,2017,2017,2020/07/11,2019/08/26,,,read,"This is one of those books everyone in the world should read, regardless of your book preference. Every person sleeps, and should be aware of the crazy impact it has on us.<br/><br/>TLDR - min 7 hours sleep a night for the rest of your life. ",,,1,0
51014619,Good Economics for Hard Times: Better Answers to Our Biggest Problems,Abhijit V. Banerjee,"Banerjee, Abhijit V.",Esther Duflo,9781610399500,9781610399500,0,4.22,PublicAffairs,ebook,417,2019,2019,,2020/06/27,to-read,to-read (#37),to-read,,,,0,0
28114529,To Pixar and Beyond: My Unlikely Journey with Steve Jobs to Make Entertainment History,Lawrence Levy,"Levy, Lawrence",,544734149,9780544734142,4,4.24,Houghton Mifflin Harcourt,Hardcover,259,2016,2016,2020/06/25,2020/05/09,,,read,"Interesting book highlighting the financial side to Pixar's success. Useful to read this right after Bob Igers book about Disney, to see the other side of the coin.<br/><br/>I also think it's important to partner with the creativity Pixar book, as it shows that the business side of a company is just as important for success as the creative product.",,,1,0
26535513,Storytelling with Data: A Data Visualization Guide for Business Professionals,Cole Nussbaumer Knaflic,"Knaflic, Cole Nussbaumer",,1119002257,9781119002253,0,4.39,Wiley,Paperback,288,2015,2015,,2020/06/26,to-read,to-read (#36),to-read,,,,0,0
44525305,The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,"Iger, Robert",Joel Lovell,9780399592096,9780399592096,4,4.4,Random House,Hardcover,272,2019,2019,2020/06/16,2019/12/12,,,read,"Two parts stood out for me in this book:<br/><br/>1. All the acquisitions that Iger led (Marvel, Lucasarts, Pixar, 21st Century Fox)<br/>2. The amount of context switching Iger has to do a on a day-to-day basis considering how many different business units Disney is responsible for. <br/><br/>Nothing in this book talks about how Disney operates as a business, which would also be interesting. Most of the ""Lessons learned"" are quite generic and mainly useful if you're a CEO of a Fortune 500.<br/><br/>Definitely recommended read, but don't expect juicy insights into the inner workings of Disney.",,,1,0
1237300,The Shock Doctrine: The Rise of Disaster Capitalism,Naomi Klein,"Klein, Naomi",,805079831,9780805079838,5,4.29,Metropolitan Books,Hardcover,558,2007,2007,2020/06/09,2020/04/27,,,read,"Wow. It's as if all the chapters in this book are a prequel to what is happening so far in 2020. The world is currently in a state of complete shock, and it will be interesting to see which corporations and governments take advantage to solidify power into their own hands. <br/><br/>Great read. ""No Logo"" by Naomi Klein was my first non-fiction/sociology book just under 20 years ago, and this book reminds why I love the genre. Highly recommended",,,1,0
30759083,"The Spider Network: The Wild Story of a Math Genius, a Gang of Backstabbing Bankers, and One of the Greatest Scams in Financial History",David Enrich,"Enrich, David",,753557495,9780753557495,3,4.07,Custom House/Harper Collins,Hardcover,528,2017,2017,2020/05/12,2020/05/09,,,read,"This was much more boring than anticipated. It's not a fun adventure like Michael Lewis' Flash Boys, this is just about bankers abusing interest rate swaps.",,,1,0
32284263,"Black Edge: Inside Information, Dirty Money, and the Quest to Bring Down the Most Wanted Man on Wall Street",Sheelah Kolhatkar,"Kolhatkar, Sheelah",,812995805,9780812995800,0,4.2,Random House,Hardcover,295,2017,2017,,2020/05/10,to-read,to-read (#35),to-read,,,,0,0
41104077,Invisible Women: Data Bias in a World Designed for Men,Caroline Criado Pérez,"Pérez, Caroline Criado",,1419729071,9781419729072,5,4.34,Abrams Press,Hardcover,448,2019,2019,2020/05/09,2019/12/12,,,read,"Going through life, it's hard to imagine how many things are designed without women in mind. This book goes through examples ranging from health, to technology, to police uniforms, displaying the impact of ignoring women in how things are designed. To top it off, each example in the book is backed by global studies.<br/><br/>This is a must read!",,,1,0
36607149,Explosive Growth: A Few Things I Learned While Growing To 100 Million Users - And Losing $78 Million,Cliff Lerner,"Lerner, Cliff",,1619617706,9781619617704,3,4.16,Clifford Ventures Corporation,Kindle Edition,314,2017,2017,2020/04/21,2019/12/12,,,read,"Had some interesting points, but overall it was very much a story about how one company works, then assuming it can be applied to every company.<br/><br/>Also lots of ""pro tips"" sprinkled throughout, most of which weren't terribly insightful.<br/><br/>Good book if you've never done anything online marketing related. ",,,1,0
44573628,Super Pumped: The Battle for Uber,Mike Isaac,"Isaac, Mike",,393652246,9780393652246,5,4.14,W. W. Norton & Company,Hardcover,408,2019,2019,2020/04/09,2019/09/29,,,read,"One of the most entertaining books I've read. Sure a lot of it is exaggerated, or taken out of context. But if you're not a fan of SF bro culture, this book double's down on the hate. Great read!<br/><br/>Note: I listened to the Audible which was probably part of the entertainment value. Not sure if the book will have the same level of excitement",,,1,0
44428950,That Will Never Work: The Birth of Netflix and the Amazing Life of an Idea,Marc Randolph,"Randolph, Marc",,316530204,9780316530200,3,4.22,"Little, Brown and Company",Hardcover,336,2019,2019,2020/02/26,2019/12/08,,,read,,,,1,0
43848929,Talking to Strangers: What We Should Know About the People We Don't Know,Malcolm Gladwell,"Gladwell, Malcolm",,316478520,9780316478526,3,4,"Little, Brown and Company",Hardcover,388,2019,2019,2020/02/20,2019/09/10,,,read,,,,1,0
46223297,Permanent Record,Edward Snowden,"Snowden, Edward",,1250237238,9781250237231,5,4.3,Metropolitan Books,Hardcover,339,2019,2019,2020/01/03,2019/09/29,,,read,"Enjoyable autobiography of Snowden, his life and all the craziness surrounding his Whistleblowing ",,,1,0
10669,When Genius Failed: The Rise and Fall of Long-Term Capital Management,Roger Lowenstein,"Lowenstein, Roger",,375758259,9780375758256,3,4.2,Random House Trade Paperbacks,Paperback,264,2001,2000,2019/12/05,2016/10/28,,,read,"The story itself is a classic boom and bust story about a highly leveraged investment firm. <br/><br/>Didn’t find it very engaging. Maybe coming from an investment banking background it would be more relatable. In a world before Billions or Wolf of Wall Street, it might’ve been a more unique story.",,,1,0
22085568,The Culture Map: Breaking Through the Invisible Boundaries of Global Business,Erin Meyer,"Meyer, Erin",,9781610392501,9781610392501,0,4.33,PublicAffairs,Kindle Edition,274,2014,2014,,2019/11/29,to-read,to-read (#34),to-read,,,,0,0
4122,Built to Last: Successful Habits of Visionary Companies,Jim Collins,"Collins, Jim",Jerry I. Porras,60566108,9780060566104,0,4.06,Harper Business,Hardcover,368,2004,1994,,2019/11/29,to-read,to-read (#33),to-read,,,,0,0
38642905,"Straight Talk for Startups: 100 Insider Rules for Beating the Odds--From Mastering the Fundamentals to Selecting Investors, Fundraising, Managing Boards, and Achieving Liquidity",Randy Komisar,"Komisar, Randy",Jantoon Reigersman,1538585367,9781538585368,5,4.05,HarperCollins,Audio CD,1,2018,,2019/11/28,2019/11/12,,,read,"A great book for anyone wanting to start their own startup from scratch.<br/><br/>It's 100 practical points, all of which are 2-4 pages of content. Perfectly condensed, with enough reading to understand the point before continuing. I wish more business'y books were structured like this.",,,1,0
4865,How to Win Friends & Influence People,Dale Carnegie,"Carnegie, Dale",,9780671723651,9780671723651,4,4.22,Gallery Books,Paperback,288,1998,1936,2019/11/11,2019/11/12,,,read,"Classic and timeless book about the basics of business. Not usually a fan of old books, but this one was great. ",,,1,0
